activity,timestamp,
Activity E,7/2/2018 17:28,
Activity F,7/2/2018 17:28,
Activity C,7/2/2018 17:28,
Activity E,7/2/2018 17:28,
Activity E,7/2/2018 17:29,
Activity E,7/2/2018 17:29,
Activity G,7/2/2018 17:29,
Activity F,7/2/2018 17:29,
Activity H,7/2/2018 17:29,
Activity E,7/2/2018 17:29,
Activity H,7/2/2018 17:29,
Activity E,7/2/2018 17:29,
Activity E,7/2/2018 17:29,
Activity D,7/2/2018 17:29,
Activity D,7/2/2018 17:30,
Activity F,7/2/2018 17:30,
Activity A,7/2/2018 17:30,
Activity H,7/2/2018 17:30,
Activity B,7/2/2018 17:30,
Activity H,7/2/2018 17:30,
Activity E,7/2/2018 17:30,
Activity C,7/2/2018 17:30,
Activity D,7/2/2018 17:30,
Activity C,7/2/2018 17:30,
Activity C,7/2/2018 17:30,
Activity F,7/2/2018 17:30,
Activity D,7/2/2018 17:30,
Activity F,7/2/2018 17:30,
Activity A,7/2/2018 17:30,
Activity H,7/2/2018 17:30,
Activity G,7/2/2018 17:31,
Activity H,7/2/2018 17:31,
Activity C,7/2/2018 17:31,
Activity F,7/2/2018 17:31,
Activity E,7/2/2018 17:31,
Activity G,7/2/2018 17:31,
Activity H,7/2/2018 17:31,
Activity H,7/2/2018 17:31,
Activity E,7/2/2018 17:31,
Activity G,7/2/2018 17:31,
Activity E,7/2/2018 17:31,
Activity G,7/2/2018 17:31,
Activity E,7/2/2018 17:32,
Activity H,7/2/2018 17:32,
Activity E,7/2/2018 17:32,
Activity B,7/2/2018 17:32,
Activity E,7/2/2018 17:32,
Activity F,7/2/2018 17:32,
Activity E,7/2/2018 17:32,
Activity E,7/2/2018 17:32,
Activity F,7/2/2018 17:32,
Activity F,7/2/2018 17:32,
Activity C,7/2/2018 17:32,
Activity B,7/2/2018 17:33,
Activity D,7/2/2018 17:33,
Activity C,7/2/2018 17:33,
Activity D,7/2/2018 17:33,
Activity A,7/2/2018 17:33,
Activity F,7/2/2018 17:33,
Activity E,7/2/2018 17:33,
Activity B,7/2/2018 17:33,
Activity F,7/2/2018 17:33,
Activity D,7/2/2018 17:33,
Activity E,7/2/2018 17:33,
Activity B,7/2/2018 17:33,
Activity E,7/2/2018 17:33,
Activity H,7/2/2018 17:33,
Activity A,7/2/2018 17:33,
Activity B,7/2/2018 17:33,
Activity G,7/2/2018 17:34,
Activity E,7/2/2018 17:34,
Activity G,7/2/2018 17:34,
Activity A,7/2/2018 17:34,
Activity E,7/2/2018 17:34,
Activity D,7/2/2018 17:34,
Activity E,7/2/2018 17:34,
Activity G,7/2/2018 17:34,
Activity F,7/2/2018 17:34,
Activity F,7/2/2018 17:34,
Activity E,7/2/2018 17:34,
Activity D,7/2/2018 17:35,
Activity A,7/2/2018 17:35,
Activity H,7/2/2018 17:35,
Activity D,7/2/2018 17:35,
Activity G,7/2/2018 17:35,
Activity D,7/2/2018 17:35,
Activity E,7/2/2018 17:35,
Activity E,7/2/2018 17:35,
Activity F,7/2/2018 17:35,
Activity H,7/2/2018 17:35,
Activity B,7/2/2018 17:36,
Activity G,7/2/2018 17:36,
Activity B,7/2/2018 17:36,
Activity A,7/2/2018 17:36,
Activity A,7/2/2018 17:36,
Activity C,7/2/2018 17:36,
Activity C,7/2/2018 17:36,
Activity G,7/2/2018 17:36,
Activity G,7/2/2018 17:36,
Activity B,7/2/2018 17:36,
Activity D,7/2/2018 17:36,
Activity D,7/2/2018 17:36,
Activity E,7/2/2018 17:36,
Activity C,7/2/2018 17:36,
Activity H,7/2/2018 17:37,
Activity E,7/2/2018 17:37,
Activity E,7/2/2018 17:37,
Activity B,7/2/2018 17:37,
Activity G,7/2/2018 17:37,
Activity A,7/2/2018 17:37,
Activity G,7/2/2018 17:37,
Activity D,7/2/2018 17:37,
Activity E,7/2/2018 17:37,
Activity B,7/2/2018 17:38,
Activity H,7/2/2018 17:38,
Activity H,7/2/2018 17:38,
Activity A,7/2/2018 17:38,
Activity C,7/2/2018 17:38,
Activity F,7/2/2018 17:38,
Activity H,7/2/2018 17:38,
Activity B,7/2/2018 17:38,
Activity B,7/2/2018 17:38,
Activity G,7/2/2018 17:38,
Activity A,7/2/2018 17:38,
Activity A,7/2/2018 17:38,
Activity F,7/2/2018 17:38,
Activity A,7/2/2018 17:38,
Activity C,7/2/2018 17:39,
Activity C,7/2/2018 17:39,
Activity E,7/2/2018 17:39,
Activity E,7/2/2018 17:39,
Activity F,7/2/2018 17:39,
Activity B,7/2/2018 17:39,
Activity H,7/2/2018 17:39,
Activity B,7/2/2018 17:39,
Activity E,7/2/2018 17:39,
Activity E,7/2/2018 17:40,
Activity E,7/2/2018 17:40,
Activity H,7/2/2018 17:40,
Activity D,7/2/2018 17:40,
Activity F,7/2/2018 17:40,
Activity E,7/2/2018 17:40,
Activity C,7/2/2018 17:40,
Activity A,7/2/2018 17:40,
Activity B,7/2/2018 17:40,
Activity C,7/2/2018 17:40,
Activity C,7/2/2018 17:40,
Activity F,7/2/2018 17:40,
Activity C,7/2/2018 17:40,
Activity D,7/2/2018 17:41,
Activity F,7/2/2018 17:41,
Activity C,7/2/2018 17:41,
Activity G,7/2/2018 17:41,
Activity E,7/2/2018 17:41,
Activity F,7/2/2018 17:41,
Activity E,7/2/2018 17:41,
Activity A,7/2/2018 17:41,
Activity E,7/2/2018 17:41,
Activity H,7/2/2018 17:41,
Activity E,7/2/2018 17:41,
Activity E,7/2/2018 17:41,
Activity G,7/2/2018 17:42,
Activity E,7/2/2018 17:42,
Activity E,7/2/2018 17:42,
Activity F,7/2/2018 17:42,
Activity E,7/2/2018 17:42,
Activity D,7/2/2018 17:42,
Activity C,7/2/2018 17:42,
Activity D,7/2/2018 17:42,
Activity E,7/2/2018 17:42,
Activity F,7/2/2018 17:42,
Activity D,7/2/2018 17:42,
Activity F,7/2/2018 17:43,
Activity D,7/2/2018 17:43,
Activity B,7/2/2018 17:43,
Activity A,7/2/2018 17:43,
Activity E,7/2/2018 17:43,
Activity D,7/2/2018 17:43,
Activity G,7/2/2018 17:43,
Activity C,7/2/2018 17:43,
Activity H,7/2/2018 17:43,
Activity G,7/2/2018 17:43,
Activity D,7/2/2018 17:43,
Activity E,7/2/2018 17:43,
Activity H,7/2/2018 17:43,
Activity B,7/2/2018 17:44,
Activity E,7/2/2018 17:44,
Activity G,7/2/2018 17:44,
Activity D,7/2/2018 17:44,
Activity G,7/2/2018 17:44,
Activity A,7/2/2018 17:44,
Activity E,7/2/2018 17:44,
Activity E,7/2/2018 17:44,
Activity H,7/2/2018 17:44,
Activity G,7/2/2018 17:44,
Activity D,7/2/2018 17:44,
Activity G,7/2/2018 17:44,
Activity F,7/2/2018 17:45,
Activity H,7/2/2018 17:45,
Activity A,7/2/2018 17:45,
Activity G,7/2/2018 17:45,
Activity A,7/2/2018 17:45,
Activity B,7/2/2018 17:45,
Activity D,7/2/2018 17:45,
Activity F,7/2/2018 17:45,
Activity G,7/2/2018 17:45,
Activity E,7/2/2018 17:46,
Activity B,7/2/2018 17:46,
Activity C,7/2/2018 17:46,
Activity B,7/2/2018 17:46,
Activity H,7/2/2018 17:46,
Activity G,7/2/2018 17:46,
Activity E,7/2/2018 17:46,
Activity B,7/2/2018 17:46,
Activity B,7/2/2018 17:46,
Activity B,7/2/2018 17:46,
Activity A,7/2/2018 17:47,
Activity F,7/2/2018 17:47,
Activity E,7/2/2018 17:47,
Activity H,7/2/2018 17:47,
Activity B,7/2/2018 17:47,
Activity C,7/2/2018 17:47,
Activity C,7/2/2018 17:47,
Activity A,7/2/2018 17:47,
Activity H,7/2/2018 17:47,
Activity D,7/2/2018 17:47,
Activity B,7/2/2018 17:47,
Activity E,7/2/2018 17:48,
Activity D,7/2/2018 17:48,
Activity C,7/2/2018 17:48,
Activity E,7/2/2018 17:48,
Activity E,7/2/2018 17:48,
Activity A,7/2/2018 17:48,
Activity G,7/2/2018 17:48,
Activity C,7/2/2018 17:49,
Activity F,7/2/2018 17:49,
Activity G,7/2/2018 17:49,
Activity E,7/2/2018 17:49,
Activity H,7/2/2018 17:49,
Activity D,7/2/2018 17:49,
Activity H,7/2/2018 17:49,
Activity A,7/2/2018 17:49,
Activity B,7/2/2018 17:49,
Activity A,7/2/2018 17:49,
Activity H,7/2/2018 17:50,
Activity E,7/2/2018 17:50,
Activity D,7/2/2018 17:50,
Activity F,7/2/2018 17:50,
Activity A,7/2/2018 17:50,
Activity G,7/2/2018 17:50,
Activity C,7/2/2018 17:50,
Activity C,7/2/2018 17:50,
Activity B,7/2/2018 17:50,
Activity E,7/2/2018 17:51,
Activity F,7/2/2018 17:51,
Activity B,7/2/2018 17:51,
Activity G,7/2/2018 17:51,
Activity E,7/2/2018 17:51,
Activity H,7/2/2018 17:51,
Activity E,7/2/2018 17:51,
Activity C,7/2/2018 17:51,
Activity A,7/2/2018 17:51,
Activity H,7/2/2018 17:51,
Activity D,7/2/2018 17:52,
Activity E,7/2/2018 17:52,
Activity F,7/2/2018 17:52,
Activity C,7/2/2018 17:52,
Activity B,7/2/2018 17:52,
Activity E,7/2/2018 17:52,
Activity D,7/2/2018 17:52,
Activity E,7/2/2018 17:52,
Activity C,7/2/2018 17:52,
Activity A,7/2/2018 17:52,
Activity G,7/2/2018 17:53,
Activity D,7/2/2018 17:53,
Activity B,7/2/2018 17:53,
Activity E,7/2/2018 17:53,
Activity E,7/2/2018 17:53,
Activity D,7/2/2018 17:53,
Activity G,7/2/2018 17:53,
Activity H,7/2/2018 17:53,
Activity H,7/2/2018 17:53,
Activity E,7/2/2018 17:53,
Activity G,7/2/2018 17:54,
Activity F,7/2/2018 17:54,
Activity F,7/2/2018 17:54,
Activity G,7/2/2018 17:54,
Activity A,7/2/2018 17:54,
Activity F,7/2/2018 17:54,
Activity C,7/2/2018 17:54,
Activity F,7/2/2018 17:54,
Activity A,7/2/2018 17:54,
Activity H,7/2/2018 17:54,
Activity B,7/2/2018 17:55,
Activity E,7/2/2018 17:55,
Activity H,7/2/2018 17:55,
Activity A,7/2/2018 17:55,
Activity B,7/2/2018 17:55,
Activity E,7/2/2018 17:55,
Activity E,7/2/2018 17:55,
Activity E,7/2/2018 17:55,
Activity C,7/2/2018 17:55,
Activity A,7/2/2018 17:56,
Activity B,7/2/2018 17:56,
Activity D,7/2/2018 17:56,
Activity E,7/2/2018 17:56,
Activity B,7/2/2018 17:56,
Activity C,7/2/2018 17:56,
Activity F,7/2/2018 17:56,
Activity D,7/2/2018 17:56,
Activity D,7/2/2018 17:56,
Activity H,7/2/2018 17:56,
Activity E,7/2/2018 17:56,
Activity A,7/2/2018 17:56,
Activity G,7/2/2018 17:57,
Activity F,7/2/2018 17:57,
Activity A,7/2/2018 17:57,
Activity E,7/2/2018 17:57,
Activity C,7/2/2018 17:57,
Activity E,7/2/2018 17:57,
Activity G,7/2/2018 17:57,
Activity G,7/2/2018 17:57,
Activity C,7/2/2018 17:57,
Activity F,7/2/2018 17:57,
Activity H,7/2/2018 17:58,
Activity E,7/2/2018 17:58,
Activity F,7/2/2018 17:58,
Activity E,7/2/2018 17:58,
Activity A,7/2/2018 17:58,
Activity A,7/2/2018 17:58,
Activity D,7/2/2018 17:58,
Activity E,7/2/2018 17:58,
Activity E,7/2/2018 17:58,
Activity H,7/2/2018 17:58,
Activity C,7/2/2018 17:59,
Activity B,7/2/2018 17:59,
Activity D,7/2/2018 17:59,
Activity C,7/2/2018 17:59,
Activity E,7/2/2018 17:59,
Activity D,7/2/2018 17:59,
Activity G,7/2/2018 17:59,
Activity B,7/2/2018 17:59,
Activity B,7/2/2018 17:59,
Activity D,7/2/2018 17:59,
Activity F,7/2/2018 17:59,
Activity C,7/2/2018 17:59,
Activity E,7/2/2018 18:00,
Activity G,7/2/2018 18:00,
Activity E,7/2/2018 18:00,
Activity H,7/2/2018 18:00,
Activity G,7/2/2018 18:00,
Activity C,7/2/2018 18:00,
Activity H,7/2/2018 18:00,
Activity G,7/2/2018 18:00,
Activity E,7/2/2018 18:00,
Activity E,7/2/2018 18:00,
Activity D,7/2/2018 18:01,
Activity D,7/2/2018 18:01,
Activity F,7/2/2018 18:01,
Activity H,7/2/2018 18:01,
Activity H,7/2/2018 18:01,
Activity C,7/2/2018 18:01,
Activity A,7/2/2018 18:01,
Activity B,7/2/2018 18:01,
Activity F,7/2/2018 18:01,
Activity D,7/2/2018 18:01,
Activity G,7/2/2018 18:02,
Activity B,7/2/2018 18:02,
Activity H,7/2/2018 18:02,
Activity E,7/2/2018 18:02,
Activity E,7/2/2018 18:02,
Activity E,7/2/2018 18:02,
Activity B,7/2/2018 18:02,
Activity E,7/2/2018 18:02,
Activity A,7/2/2018 18:02,
Activity G,7/2/2018 18:02,
Activity A,7/2/2018 18:03,
Activity G,7/2/2018 18:03,
Activity D,7/2/2018 18:03,
Activity A,7/2/2018 18:03,
Activity B,7/2/2018 18:03,
Activity D,7/2/2018 18:03,
Activity D,7/2/2018 18:03,
Activity H,7/2/2018 18:03,
Activity D,7/2/2018 18:03,
Activity B,7/2/2018 18:04,
Activity G,7/2/2018 18:04,
Activity G,7/2/2018 18:04,
Activity G,7/2/2018 18:04,
Activity C,7/2/2018 18:04,
Activity G,7/2/2018 18:04,
Activity C,7/2/2018 18:04,
Activity B,7/2/2018 18:04,
Activity H,7/2/2018 18:05,
Activity B,7/2/2018 18:05,
Activity C,7/2/2018 18:05,
Activity E,7/2/2018 18:05,
Activity H,7/2/2018 18:05,
Activity C,7/2/2018 18:06,
Activity B,7/2/2018 18:06,
Activity H,7/2/2018 18:06,
Activity B,7/2/2018 18:06,
Activity B,7/2/2018 18:06,
Activity D,7/2/2018 18:06,
Activity B,7/2/2018 18:06,
Activity E,7/2/2018 18:06,
Activity A,7/2/2018 18:07,
Activity E,7/2/2018 18:07,
Activity A,7/2/2018 18:07,
Activity E,7/2/2018 18:07,
Activity G,7/2/2018 18:07,
Activity A,7/2/2018 18:07,
Activity F,7/2/2018 18:07,
Activity D,7/2/2018 18:08,
Activity F,7/2/2018 18:08,
Activity E,7/2/2018 18:08,
Activity C,7/2/2018 18:09,
Activity G,7/2/2018 18:09,
Activity H,7/2/2018 18:09,
Activity E,7/2/2018 18:09,
Activity B,7/2/2018 18:09,
Activity H,7/2/2018 18:09,
Activity D,7/2/2018 18:09,
Activity A,7/2/2018 18:09,
Activity A,7/2/2018 18:10,
Activity H,7/2/2018 18:10,
Activity C,7/2/2018 18:10,
Activity D,7/2/2018 18:10,
Activity C,7/2/2018 18:10,
Activity G,7/2/2018 18:10,
Activity E,7/2/2018 18:11,
Activity B,7/2/2018 18:11,
Activity E,7/2/2018 18:11,
Activity G,7/2/2018 18:11,
Activity E,7/2/2018 18:11,
Activity C,7/2/2018 18:11,
Activity A,7/2/2018 18:12,
Activity H,7/2/2018 18:12,
Activity F,7/2/2018 18:12,
Activity A,7/2/2018 18:12,
Activity F,7/2/2018 18:12,
Activity F,7/2/2018 18:12,
Activity B,7/2/2018 18:12,
Activity E,7/2/2018 18:12,
Activity A,7/2/2018 18:12,
Activity C,7/2/2018 18:13,
Activity E,7/2/2018 18:13,
Activity A,7/2/2018 18:13,
Activity E,7/2/2018 18:13,
Activity B,7/2/2018 18:13,
Activity E,7/2/2018 18:13,
Activity A,7/2/2018 18:13,
Activity F,7/2/2018 18:13,
Activity C,7/2/2018 18:14,
Activity A,7/2/2018 18:14,
Activity E,7/2/2018 18:14,
Activity F,7/2/2018 18:14,
Activity C,7/2/2018 18:14,
Activity A,7/2/2018 18:14,
Activity D,7/2/2018 18:14,
Activity F,7/2/2018 18:14,
Activity E,7/2/2018 18:14,
Activity C,7/2/2018 18:14,
Activity E,7/2/2018 18:15,
Activity D,7/2/2018 18:15,
Activity E,7/2/2018 18:15,
Activity E,7/2/2018 18:15,
Activity C,7/2/2018 18:15,
Activity G,7/2/2018 18:15,
Activity E,7/2/2018 18:15,
Activity H,7/2/2018 18:15,
Activity H,7/2/2018 18:15,
Activity H,7/2/2018 18:15,
Activity F,7/2/2018 18:16,
Activity H,7/2/2018 18:16,
Activity G,7/2/2018 18:16,
Activity A,7/2/2018 18:16,
Activity F,7/2/2018 18:16,
Activity F,7/2/2018 18:16,
Activity E,7/2/2018 18:16,
Activity C,7/2/2018 18:16,
Activity D,7/2/2018 18:16,
Activity C,7/2/2018 18:16,
Activity D,7/2/2018 18:16,
Activity E,7/2/2018 18:16,
Activity E,7/2/2018 18:17,
Activity C,7/2/2018 18:17,
Activity E,7/2/2018 18:17,
Activity E,7/2/2018 18:17,
Activity D,7/2/2018 18:17,
Activity E,7/2/2018 18:17,
Activity B,7/2/2018 18:17,
Activity A,7/2/2018 18:17,
Activity A,7/2/2018 18:17,
Activity G,7/2/2018 18:17,
Activity E,7/2/2018 18:17,
Activity G,7/2/2018 18:17,
Activity D,7/2/2018 18:17,
Activity F,7/2/2018 18:18,
Activity E,7/2/2018 18:18,
Activity B,7/2/2018 18:18,
Activity C,7/2/2018 18:18,
Activity A,7/2/2018 18:18,
Activity F,7/2/2018 18:18,
Activity H,7/2/2018 18:18,
Activity H,7/2/2018 18:18,
Activity H,7/2/2018 18:18,
Activity F,7/2/2018 18:18,
Activity G,7/2/2018 18:18,
Activity H,7/2/2018 18:19,
Activity D,7/2/2018 18:19,
Activity H,7/2/2018 18:19,
Activity E,7/2/2018 18:19,
Activity D,7/2/2018 18:19,
Activity G,7/2/2018 18:19,
Activity F,7/2/2018 18:19,
Activity H,7/2/2018 18:19,
Activity H,7/2/2018 18:19,
Activity B,7/2/2018 18:19,
Activity E,7/2/2018 18:19,
Activity B,7/2/2018 18:19,
Activity E,7/2/2018 18:20,
Activity G,7/2/2018 18:20,
Activity E,7/2/2018 18:20,
Activity H,7/2/2018 18:20,
Activity D,7/2/2018 18:20,
Activity A,7/2/2018 18:20,
Activity G,7/2/2018 18:20,
Activity E,7/2/2018 18:20,
Activity C,7/2/2018 18:20,
Activity C,7/2/2018 18:20,
Activity F,7/2/2018 18:20,
Activity B,7/2/2018 18:20,
Activity D,7/2/2018 18:21,
Activity D,7/2/2018 18:21,
Activity C,7/2/2018 18:21,
Activity G,7/2/2018 18:21,
Activity A,7/2/2018 18:21,
Activity B,7/2/2018 18:21,
Activity D,7/2/2018 18:21,
Activity E,7/2/2018 18:21,
Activity E,7/2/2018 18:21,
Activity E,7/2/2018 18:21,
Activity G,7/2/2018 18:22,
Activity A,7/2/2018 18:22,
Activity B,7/2/2018 18:22,
Activity G,7/2/2018 18:22,
Activity E,7/2/2018 18:22,
Activity C,7/2/2018 18:22,
Activity A,7/2/2018 18:22,
Activity B,7/2/2018 18:22,
Activity G,7/2/2018 18:22,
Activity F,7/2/2018 18:22,
Activity D,7/2/2018 18:22,
Activity F,7/2/2018 18:22,
Activity D,7/2/2018 18:23,
Activity B,7/2/2018 18:23,
Activity C,7/2/2018 18:23,
Activity E,7/2/2018 18:23,
Activity E,7/2/2018 18:23,
Activity G,7/2/2018 18:23,
Activity E,7/2/2018 18:23,
Activity B,7/2/2018 18:24,
Activity H,7/2/2018 18:24,
Activity B,7/2/2018 18:24,
Activity G,7/2/2018 18:24,
Activity H,7/2/2018 18:24,
Activity D,7/2/2018 18:24,
Activity C,7/2/2018 18:24,
Activity B,7/2/2018 18:24,
Activity F,7/2/2018 18:24,
Activity F,7/2/2018 18:24,
Activity C,7/2/2018 18:25,
Activity E,7/2/2018 18:25,
Activity G,7/2/2018 18:25,
Activity E,7/2/2018 18:25,
Activity E,7/2/2018 18:25,
Activity B,7/2/2018 18:25,
Activity E,7/2/2018 18:25,
Activity A,7/2/2018 18:25,
Activity E,7/2/2018 18:26,
Activity B,7/2/2018 18:26,
Activity D,7/2/2018 18:26,
Activity H,7/2/2018 18:26,
Activity H,7/2/2018 18:26,
Activity F,7/2/2018 18:26,
Activity F,7/2/2018 18:26,
Activity D,7/2/2018 18:27,
Activity G,7/2/2018 18:27,
Activity D,7/2/2018 18:27,
Activity E,7/2/2018 18:27,
Activity E,7/2/2018 18:27,
Activity C,7/2/2018 18:27,
Activity A,7/2/2018 18:28,
Activity G,7/2/2018 18:28,
Activity A,7/2/2018 18:28,
Activity A,7/2/2018 18:28,
Activity B,7/2/2018 18:28,
Activity G,7/2/2018 18:28,
Activity D,7/2/2018 18:28,
Activity F,7/2/2018 18:28,
Activity E,7/2/2018 18:28,
Activity B,7/2/2018 18:29,
Activity A,7/2/2018 18:29,
Activity G,7/2/2018 18:29,
Activity E,7/2/2018 18:29,
Activity F,7/2/2018 18:29,
Activity C,7/2/2018 18:30,
Activity B,7/2/2018 18:30,
Activity H,7/2/2018 18:30,
Activity C,7/2/2018 18:30,
Activity A,7/2/2018 18:30,
Activity B,7/2/2018 18:30,
Activity F,7/2/2018 18:30,
Activity H,7/2/2018 18:30,
Activity H,7/2/2018 18:31,
Activity A,7/2/2018 18:31,
Activity C,7/2/2018 18:31,
Activity E,7/2/2018 18:31,
Activity C,7/2/2018 18:31,
Activity B,7/2/2018 18:31,
Activity E,7/2/2018 18:31,
Activity E,7/2/2018 18:31,
Activity E,7/2/2018 18:32,
Activity E,7/2/2018 18:32,
Activity F,7/2/2018 18:32,
Activity H,7/2/2018 18:32,
Activity H,7/2/2018 18:32,
Activity A,7/2/2018 18:32,
Activity A,7/2/2018 18:32,
Activity F,7/2/2018 18:32,
Activity F,7/2/2018 18:32,
Activity D,7/2/2018 18:33,
Activity H,7/2/2018 18:33,
Activity D,7/2/2018 18:33,
Activity E,7/2/2018 18:33,
Activity C,7/2/2018 18:33,
Activity A,7/2/2018 18:33,
Activity E,7/2/2018 18:33,
Activity E,7/2/2018 18:33,
Activity E,7/2/2018 18:33,
Activity G,7/2/2018 18:34,
Activity C,7/2/2018 18:34,
Activity G,7/2/2018 18:34,
Activity D,7/2/2018 18:34,
Activity E,7/2/2018 18:34,
Activity F,7/2/2018 18:34,
Activity A,7/2/2018 18:34,
Activity H,7/2/2018 18:34,
Activity H,7/2/2018 18:34,
Activity D,7/2/2018 18:34,
Activity F,7/2/2018 18:34,
Activity E,7/2/2018 18:35,
Activity G,7/2/2018 18:35,
Activity F,7/2/2018 18:35,
Activity H,7/2/2018 18:35,
Activity E,7/2/2018 18:35,
Activity C,7/2/2018 18:35,
Activity C,7/2/2018 18:35,
Activity G,7/2/2018 18:35,
Activity E,7/2/2018 18:35,
Activity B,7/2/2018 18:36,
Activity F,7/2/2018 18:36,
Activity B,7/2/2018 18:36,
Activity H,7/2/2018 18:36,
Activity E,7/2/2018 18:36,
Activity A,7/2/2018 18:36,
Activity C,7/2/2018 18:36,
Activity D,7/2/2018 18:36,
Activity C,7/2/2018 18:36,
Activity E,7/2/2018 18:36,
Activity E,7/2/2018 18:36,
Activity A,7/2/2018 18:36,
Activity F,7/2/2018 18:36,
Activity E,7/2/2018 18:37,
Activity D,7/2/2018 18:37,
Activity E,7/2/2018 18:37,
Activity G,7/2/2018 18:37,
Activity E,7/2/2018 18:37,
Activity D,7/2/2018 18:37,
Activity A,7/2/2018 18:37,
Activity F,7/2/2018 18:37,
Activity B,7/2/2018 18:37,
Activity E,7/2/2018 18:37,
Activity D,7/2/2018 18:38,
Activity A,7/2/2018 18:38,
Activity B,7/2/2018 18:38,
Activity G,7/2/2018 18:38,
Activity C,7/2/2018 18:38,
Activity F,7/2/2018 18:38,
Activity H,7/2/2018 18:38,
Activity G,7/2/2018 18:38,
Activity E,7/2/2018 18:38,
Activity A,7/2/2018 18:38,
Activity C,7/2/2018 18:38,
Activity A,7/2/2018 18:38,
Activity D,7/2/2018 18:38,
Activity A,7/2/2018 18:38,
Activity G,7/2/2018 18:39,
Activity A,7/2/2018 18:39,
Activity H,7/2/2018 18:39,
Activity E,7/2/2018 18:39,
Activity B,7/2/2018 18:39,
Activity F,7/2/2018 18:39,
Activity C,7/2/2018 18:39,
Activity F,7/2/2018 18:39,
Activity E,7/2/2018 18:39,
Activity G,7/2/2018 18:39,
Activity C,7/2/2018 18:40,
Activity B,7/2/2018 18:40,
Activity E,7/2/2018 18:40,
Activity D,7/2/2018 18:40,
Activity E,7/2/2018 18:40,
Activity B,7/2/2018 18:40,
Activity H,7/2/2018 18:40,
Activity E,7/2/2018 18:40,
Activity H,7/2/2018 18:40,
Activity F,7/2/2018 18:40,
Activity H,7/2/2018 18:40,
Activity H,7/2/2018 18:40,
Activity A,7/2/2018 18:41,
Activity B,7/2/2018 18:41,
Activity H,7/2/2018 18:41,
Activity H,7/2/2018 18:41,
Activity D,7/2/2018 18:41,
Activity G,7/2/2018 18:41,
Activity D,7/2/2018 18:41,
Activity E,7/2/2018 18:41,
Activity F,7/2/2018 18:41,
Activity C,7/2/2018 18:41,
Activity H,7/2/2018 18:41,
Activity C,7/2/2018 18:41,
Activity B,7/2/2018 18:41,
Activity C,7/2/2018 18:41,
Activity C,7/2/2018 18:42,
Activity A,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity A,7/2/2018 18:42,
Activity G,7/2/2018 18:42,
Activity G,7/2/2018 18:42,
Activity D,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity E,7/2/2018 18:42,
Activity C,7/2/2018 18:43,
Activity E,7/2/2018 18:43,
Activity D,7/2/2018 18:43,
Activity B,7/2/2018 18:43,
Activity G,7/2/2018 18:43,
Activity D,7/2/2018 18:43,
Activity D,7/2/2018 18:43,
Activity D,7/2/2018 18:43,
Activity F,7/2/2018 18:43,
Activity D,7/2/2018 18:43,
Activity E,7/2/2018 18:44,
Activity F,7/2/2018 18:44,
Activity C,7/2/2018 18:44,
Activity G,7/2/2018 18:44,
Activity H,7/2/2018 18:44,
Activity A,7/2/2018 18:44,
Activity B,7/2/2018 18:44,
Activity A,7/2/2018 18:44,
