case,activity,timestamp
33,b,14/03/2019 03:57:45
33,c,14/03/2019 03:58:45
33,d,14/03/2019 03:59:45
34,a,14/03/2019 03:57:31
34,b,14/03/2019 03:58:31
34,c,14/03/2019 03:59:31
34,d,14/03/2019 04:00:31
35,a,14/03/2019 03:59:07
35,c,14/03/2019 04:00:07
35,b,14/03/2019 04:01:07
35,d,14/03/2019 04:02:07
36,a,14/03/2019 04:00:00
36,b,14/03/2019 04:01:00
36,c,14/03/2019 04:02:00
36,d,14/03/2019 04:03:00
37,a,14/03/2019 04:00:06
37,b,14/03/2019 04:01:06
37,c,14/03/2019 04:02:06
37,d,14/03/2019 04:03:06
38,a,14/03/2019 04:00:18
38,b,14/03/2019 04:01:18
38,c,14/03/2019 04:02:18
38,d,14/03/2019 04:03:18
39,a,14/03/2019 04:00:28
39,c,14/03/2019 04:01:28
39,b,14/03/2019 04:02:28
39,d,14/03/2019 04:03:28
40,a,14/03/2019 04:01:21
40,b,14/03/2019 04:02:21
40,c,14/03/2019 04:03:21
40,d,14/03/2019 04:04:21
41,a,14/03/2019 04:01:46
41,b,14/03/2019 04:02:46
41,c,14/03/2019 04:03:46
41,d,14/03/2019 04:04:46
42,a,14/03/2019 04:02:04
42,b,14/03/2019 04:03:04
42,c,14/03/2019 04:04:04
42,d,14/03/2019 04:05:04
43,a,14/03/2019 04:03:00
43,c,14/03/2019 04:04:00
43,b,14/03/2019 04:05:00
43,d,14/03/2019 04:06:00
44,a,14/03/2019 04:03:46
44,b,14/03/2019 04:04:46
44,c,14/03/2019 04:05:46
44,d,14/03/2019 04:06:46
45,a,14/03/2019 04:04:01
45,b,14/03/2019 04:05:01
45,c,14/03/2019 04:06:01
45,d,14/03/2019 04:07:01
46,a,14/03/2019 04:04:15
46,b,14/03/2019 04:05:15
46,c,14/03/2019 04:06:15
46,d,14/03/2019 04:07:15
47,a,14/03/2019 04:04:41
47,c,14/03/2019 04:05:41
47,b,14/03/2019 04:06:41
47,d,14/03/2019 04:07:41
48,a,14/03/2019 04:06:35
48,c,14/03/2019 04:07:35
48,b,14/03/2019 04:08:35
48,d,14/03/2019 04:09:35
49,a,14/03/2019 04:06:40
49,c,14/03/2019 04:07:40
49,b,14/03/2019 04:08:40
49,d,14/03/2019 04:09:40
50,a,14/03/2019 04:10:00
50,b,14/03/2019 04:11:00
50,c,14/03/2019 04:12:00
50,d,14/03/2019 04:13:00
51,a,14/03/2019 04:12:25
51,c,14/03/2019 04:13:25
51,b,14/03/2019 04:14:25
51,d,14/03/2019 04:15:25
52,a,14/03/2019 04:13:46
52,b,14/03/2019 04:14:46
52,c,14/03/2019 04:15:46
52,d,14/03/2019 04:16:46
53,a,14/03/2019 04:15:51
53,c,14/03/2019 04:16:51
53,b,14/03/2019 04:17:51
53,d,14/03/2019 04:18:51
54,a,14/03/2019 04:17:13
54,b,14/03/2019 04:18:13
54,c,14/03/2019 04:19:13
54,d,14/03/2019 04:20:13
55,a,14/03/2019 04:17:14
55,b,14/03/2019 04:18:14
55,c,14/03/2019 04:19:14
55,d,14/03/2019 04:20:14
56,a,14/03/2019 04:19:32
56,b,14/03/2019 04:20:32
56,c,14/03/2019 04:21:32
56,d,14/03/2019 04:22:32
57,a,14/03/2019 04:20:06
57,c,14/03/2019 04:21:06
57,b,14/03/2019 04:22:06
57,d,14/03/2019 04:23:06
58,a,14/03/2019 04:23:00
58,c,14/03/2019 04:24:00
58,b,14/03/2019 04:25:00
58,d,14/03/2019 04:26:00
59,a,14/03/2019 04:23:41
59,b,14/03/2019 04:24:41
59,c,14/03/2019 04:25:41
59,d,14/03/2019 04:26:41
60,a,14/03/2019 04:25:45
60,b,14/03/2019 04:26:45
60,c,14/03/2019 04:27:45
60,d,14/03/2019 04:28:45
61,a,14/03/2019 04:27:12
61,b,14/03/2019 04:28:12
61,c,14/03/2019 04:29:12
61,d,14/03/2019 04:30:12
62,a,14/03/2019 04:28:06
62,b,14/03/2019 04:29:06
62,c,14/03/2019 04:30:06
62,d,14/03/2019 04:31:06
63,a,14/03/2019 04:28:45
63,b,14/03/2019 04:29:45
63,c,14/03/2019 04:30:45
63,d,14/03/2019 04:31:45
64,a,14/03/2019 04:28:53
64,b,14/03/2019 04:29:53
64,c,14/03/2019 04:30:53
64,d,14/03/2019 04:31:53
65,a,14/03/2019 04:29:20
65,b,14/03/2019 04:30:20
65,c,14/03/2019 04:31:20
65,d,14/03/2019 04:32:20
66,a,14/03/2019 04:30:59
66,b,14/03/2019 04:31:59
66,c,14/03/2019 04:32:59
66,d,14/03/2019 04:33:59
67,a,14/03/2019 04:31:11
67,c,14/03/2019 04:32:11
67,b,14/03/2019 04:33:11
67,d,14/03/2019 04:34:11
68,a,14/03/2019 04:31:13
68,c,14/03/2019 04:32:13
68,b,14/03/2019 04:33:13
68,d,14/03/2019 04:34:13
69,a,14/03/2019 04:35:43
69,b,14/03/2019 04:36:43
69,c,14/03/2019 04:37:43
69,d,14/03/2019 04:38:43
70,a,14/03/2019 04:36:02
70,b,14/03/2019 04:37:02
70,c,14/03/2019 04:38:02
70,d,14/03/2019 04:39:02
71,a,14/03/2019 04:36:53
71,b,14/03/2019 04:37:53
71,c,14/03/2019 04:38:53
71,d,14/03/2019 04:39:53
72,a,14/03/2019 04:37:57
72,b,14/03/2019 04:38:57
72,c,14/03/2019 04:39:57
72,d,14/03/2019 04:40:57
73,a,14/03/2019 04:38:56
73,b,14/03/2019 04:39:56
73,c,14/03/2019 04:40:56
73,d,14/03/2019 04:41:56
74,a,14/03/2019 04:39:15
74,b,14/03/2019 04:40:15
74,c,14/03/2019 04:41:15
74,d,14/03/2019 04:42:15
75,a,14/03/2019 04:40:16
75,c,14/03/2019 04:41:16
75,b,14/03/2019 04:42:16
75,d,14/03/2019 04:43:16
76,a,14/03/2019 04:40:50
76,c,14/03/2019 04:41:50
76,b,14/03/2019 04:42:50
76,d,14/03/2019 04:43:50
77,a,14/03/2019 04:42:23
77,c,14/03/2019 04:43:23
77,b,14/03/2019 04:44:23
77,d,14/03/2019 04:45:23
78,a,14/03/2019 04:44:44
78,c,14/03/2019 04:45:44
78,b,14/03/2019 04:46:44
78,d,14/03/2019 04:47:44
79,a,14/03/2019 04:46:59
79,b,14/03/2019 04:47:59
79,c,14/03/2019 04:48:59
79,d,14/03/2019 04:49:59
80,a,14/03/2019 04:48:28
80,b,14/03/2019 04:49:28
80,c,14/03/2019 04:50:28
80,d,14/03/2019 04:51:28
81,a,14/03/2019 04:48:32
81,c,14/03/2019 04:49:32
81,b,14/03/2019 04:50:32
81,d,14/03/2019 04:51:32
82,a,14/03/2019 04:50:08
82,b,14/03/2019 04:51:08
82,c,14/03/2019 04:52:08
82,d,14/03/2019 04:53:08
83,a,14/03/2019 04:50:59
83,b,14/03/2019 04:51:59
83,c,14/03/2019 04:52:59
83,d,14/03/2019 04:53:59
84,a,14/03/2019 04:51:14
84,b,14/03/2019 04:52:14
84,c,14/03/2019 04:53:14
84,d,14/03/2019 04:54:14
85,a,14/03/2019 04:54:12
85,c,14/03/2019 04:55:12
85,b,14/03/2019 04:56:12
85,d,14/03/2019 04:57:12
86,a,14/03/2019 04:55:27
86,c,14/03/2019 04:56:27
86,b,14/03/2019 04:57:27
86,d,14/03/2019 04:58:27
87,a,14/03/2019 04:56:01
87,c,14/03/2019 04:57:01
87,b,14/03/2019 04:58:01
87,d,14/03/2019 04:59:01
88,a,14/03/2019 04:57:51
88,b,14/03/2019 04:58:51
88,c,14/03/2019 04:59:51
88,d,14/03/2019 05:00:51
89,a,14/03/2019 04:59:30
89,b,14/03/2019 05:00:30
89,c,14/03/2019 05:01:30
89,d,14/03/2019 05:02:30
90,a,14/03/2019 05:00:42
90,c,14/03/2019 05:01:42
90,b,14/03/2019 05:02:42
90,d,14/03/2019 05:03:42
91,a,14/03/2019 05:00:48
91,b,14/03/2019 05:01:48
91,c,14/03/2019 05:02:48
91,d,14/03/2019 05:03:48
92,a,14/03/2019 05:01:35
92,c,14/03/2019 05:02:35
92,b,14/03/2019 05:03:35
92,d,14/03/2019 05:04:35
93,a,14/03/2019 05:02:15
93,c,14/03/2019 05:03:15
93,b,14/03/2019 05:04:15
93,d,14/03/2019 05:05:15
94,a,14/03/2019 05:03:52
94,c,14/03/2019 05:04:52
94,b,14/03/2019 05:05:52
94,d,14/03/2019 05:06:52
95,a,14/03/2019 05:04:04
95,c,14/03/2019 05:05:04
95,b,14/03/2019 05:06:04
95,d,14/03/2019 05:07:04
96,a,14/03/2019 05:05:20
96,b,14/03/2019 05:06:20
96,c,14/03/2019 05:07:20
96,d,14/03/2019 05:08:20
97,a,14/03/2019 05:06:17
97,c,14/03/2019 05:07:17
97,b,14/03/2019 05:08:17
97,d,14/03/2019 05:09:17
98,a,14/03/2019 05:06:55
98,c,14/03/2019 05:07:55
98,b,14/03/2019 05:08:55
98,d,14/03/2019 05:09:55
99,a,14/03/2019 05:07:49
99,b,14/03/2019 05:08:49
99,c,14/03/2019 05:09:49
99,d,14/03/2019 05:10:49
100,a,14/03/2019 05:09:34
100,b,14/03/2019 05:10:34
100,c,14/03/2019 05:11:34
100,d,14/03/2019 05:12:34
101,a,14/03/2019 05:09:54
101,c,14/03/2019 05:10:54
101,b,14/03/2019 05:11:54
101,d,14/03/2019 05:12:54
102,a,14/03/2019 05:11:16
102,c,14/03/2019 05:12:16
102,b,14/03/2019 05:13:16
102,d,14/03/2019 05:14:16
103,a,14/03/2019 05:12:04
103,c,14/03/2019 05:13:04
103,b,14/03/2019 05:14:04
103,d,14/03/2019 05:15:04
104,a,14/03/2019 05:12:41
104,c,14/03/2019 05:13:41
104,b,14/03/2019 05:14:41
104,d,14/03/2019 05:15:41
105,a,14/03/2019 05:13:32
105,c,14/03/2019 05:14:32
105,b,14/03/2019 05:15:32
105,d,14/03/2019 05:16:32
106,a,14/03/2019 05:14:32
106,b,14/03/2019 05:15:32
106,c,14/03/2019 05:16:32
106,d,14/03/2019 05:17:32
107,a,14/03/2019 05:14:34
107,b,14/03/2019 05:15:34
107,c,14/03/2019 05:16:34
107,d,14/03/2019 05:17:34
108,a,14/03/2019 05:15:19
108,b,14/03/2019 05:16:19
108,c,14/03/2019 05:17:19
108,d,14/03/2019 05:18:19
109,a,14/03/2019 05:15:20
109,c,14/03/2019 05:16:20
109,b,14/03/2019 05:17:20
109,d,14/03/2019 05:18:20
110,a,14/03/2019 05:16:25
110,c,14/03/2019 05:17:25
110,b,14/03/2019 05:18:25
110,d,14/03/2019 05:19:25
111,a,14/03/2019 05:17:47
111,c,14/03/2019 05:18:47
111,b,14/03/2019 05:19:47
111,d,14/03/2019 05:20:47
112,a,14/03/2019 05:20:55
112,c,14/03/2019 05:21:55
112,b,14/03/2019 05:22:55
112,d,14/03/2019 05:23:55
113,a,14/03/2019 05:23:24
113,b,14/03/2019 05:24:24
113,c,14/03/2019 05:25:24
113,d,14/03/2019 05:26:24
114,a,14/03/2019 05:23:39
114,b,14/03/2019 05:24:39
114,c,14/03/2019 05:25:39
114,d,14/03/2019 05:26:39
115,a,14/03/2019 05:23:47
115,b,14/03/2019 05:24:47
115,c,14/03/2019 05:25:47
115,d,14/03/2019 05:26:47
116,a,14/03/2019 05:25:41
116,c,14/03/2019 05:26:41
116,b,14/03/2019 05:27:41
116,d,14/03/2019 05:28:41
117,a,14/03/2019 05:27:17
117,c,14/03/2019 05:28:17
117,b,14/03/2019 05:29:17
117,d,14/03/2019 05:30:17
118,a,14/03/2019 05:28:51
118,b,14/03/2019 05:29:51
118,c,14/03/2019 05:30:51
118,d,14/03/2019 05:31:51
119,a,14/03/2019 05:30:16
119,c,14/03/2019 05:31:16
119,b,14/03/2019 05:32:16
119,d,14/03/2019 05:33:16
120,a,14/03/2019 05:30:57
120,c,14/03/2019 05:31:57
120,b,14/03/2019 05:32:57
120,d,14/03/2019 05:33:57
121,a,14/03/2019 05:31:13
121,c,14/03/2019 05:32:13
121,b,14/03/2019 05:33:13
121,d,14/03/2019 05:34:13
122,a,14/03/2019 05:32:41
122,b,14/03/2019 05:33:41
122,c,14/03/2019 05:34:41
122,d,14/03/2019 05:35:41
123,a,14/03/2019 05:33:07
123,b,14/03/2019 05:34:07
123,c,14/03/2019 05:35:07
123,d,14/03/2019 05:36:07
124,a,14/03/2019 05:33:10
124,b,14/03/2019 05:34:10
124,c,14/03/2019 05:35:10
124,d,14/03/2019 05:36:10
125,a,14/03/2019 05:33:54
125,c,14/03/2019 05:34:54
125,b,14/03/2019 05:35:54
125,d,14/03/2019 05:36:54
126,a,14/03/2019 05:34:34
126,c,14/03/2019 05:35:34
126,b,14/03/2019 05:36:34
126,d,14/03/2019 05:37:34
127,a,14/03/2019 05:35:19
127,c,14/03/2019 05:36:19
127,b,14/03/2019 05:37:19
127,d,14/03/2019 05:38:19
128,a,14/03/2019 05:35:49
128,c,14/03/2019 05:36:49
128,b,14/03/2019 05:37:49
128,d,14/03/2019 05:38:49
129,a,14/03/2019 05:37:50
129,b,14/03/2019 05:38:50
129,c,14/03/2019 05:39:50
129,d,14/03/2019 05:40:50
130,a,14/03/2019 05:38:33
130,c,14/03/2019 05:39:33
130,b,14/03/2019 05:40:33
130,d,14/03/2019 05:41:33
131,a,14/03/2019 05:39:23
131,c,14/03/2019 05:40:23
131,b,14/03/2019 05:41:23
131,d,14/03/2019 05:42:23
132,a,14/03/2019 05:39:53
132,b,14/03/2019 05:40:53
132,c,14/03/2019 05:41:53
132,d,14/03/2019 05:42:53
133,a,14/03/2019 05:41:56
133,b,14/03/2019 05:42:56
133,c,14/03/2019 05:43:56
133,d,14/03/2019 05:44:56
134,a,14/03/2019 05:42:04
134,b,14/03/2019 05:43:04
134,c,14/03/2019 05:44:04
134,d,14/03/2019 05:45:04
135,a,14/03/2019 05:42:15
135,c,14/03/2019 05:43:15
135,b,14/03/2019 05:44:15
135,d,14/03/2019 05:45:15
136,a,14/03/2019 05:42:45
136,b,14/03/2019 05:43:45
136,c,14/03/2019 05:44:45
136,d,14/03/2019 05:45:45
137,a,14/03/2019 05:43:08
137,b,14/03/2019 05:44:08
137,c,14/03/2019 05:45:08
137,d,14/03/2019 05:46:08
138,a,14/03/2019 05:43:10
138,b,14/03/2019 05:44:10
138,c,14/03/2019 05:45:10
138,d,14/03/2019 05:46:10
139,a,14/03/2019 05:43:23
139,c,14/03/2019 05:44:23
139,b,14/03/2019 05:45:23
139,d,14/03/2019 05:46:23
140,a,14/03/2019 05:44:22
140,c,14/03/2019 05:45:22
140,b,14/03/2019 05:46:22
140,d,14/03/2019 05:47:22
141,a,14/03/2019 05:44:31
141,c,14/03/2019 05:45:31
141,b,14/03/2019 05:46:31
141,d,14/03/2019 05:47:31
142,a,14/03/2019 05:44:34
142,c,14/03/2019 05:45:34
142,b,14/03/2019 05:46:34
142,d,14/03/2019 05:47:34
143,a,14/03/2019 05:44:38
143,b,14/03/2019 05:45:38
143,c,14/03/2019 05:46:38
143,d,14/03/2019 05:47:38
144,a,14/03/2019 05:47:05
144,b,14/03/2019 05:48:05
144,c,14/03/2019 05:49:05
144,d,14/03/2019 05:50:05
145,a,14/03/2019 05:50:23
145,b,14/03/2019 05:51:23
145,c,14/03/2019 05:52:23
145,d,14/03/2019 05:53:23
146,a,14/03/2019 05:51:07
146,c,14/03/2019 05:52:07
146,b,14/03/2019 05:53:07
146,d,14/03/2019 05:54:07
147,a,14/03/2019 05:51:51
147,b,14/03/2019 05:52:51
147,c,14/03/2019 05:53:51
147,d,14/03/2019 05:54:51
148,a,14/03/2019 05:53:49
148,c,14/03/2019 05:54:49
148,b,14/03/2019 05:55:49
148,d,14/03/2019 05:56:49
149,a,14/03/2019 05:53:53
149,b,14/03/2019 05:54:53
149,c,14/03/2019 05:55:53
149,d,14/03/2019 05:56:53
150,a,14/03/2019 05:56:58
150,c,14/03/2019 05:57:58
150,b,14/03/2019 05:58:58
150,d,14/03/2019 05:59:58
151,a,14/03/2019 05:58:13
151,c,14/03/2019 05:59:13
151,b,14/03/2019 06:00:13
151,d,14/03/2019 06:01:13
152,a,14/03/2019 06:00:26
152,b,14/03/2019 06:01:26
152,c,14/03/2019 06:02:26
152,d,14/03/2019 06:03:26
153,a,14/03/2019 06:00:47
153,c,14/03/2019 06:01:47
153,b,14/03/2019 06:02:47
153,d,14/03/2019 06:03:47
154,a,14/03/2019 06:00:58
154,b,14/03/2019 06:01:58
154,c,14/03/2019 06:02:58
154,d,14/03/2019 06:03:58
155,a,14/03/2019 06:02:01
155,b,14/03/2019 06:03:01
155,c,14/03/2019 06:04:01
155,d,14/03/2019 06:05:01
156,a,14/03/2019 06:02:30
156,c,14/03/2019 06:03:30
156,b,14/03/2019 06:04:30
156,d,14/03/2019 06:05:30
157,a,14/03/2019 06:07:11
157,b,14/03/2019 06:08:11
157,c,14/03/2019 06:09:11
157,d,14/03/2019 06:10:11
158,a,14/03/2019 06:08:36
158,b,14/03/2019 06:09:36
158,c,14/03/2019 06:10:36
158,d,14/03/2019 06:11:36
159,a,14/03/2019 06:08:56
159,c,14/03/2019 06:09:56
159,b,14/03/2019 06:10:56
159,d,14/03/2019 06:11:56
160,a,14/03/2019 06:09:18
160,c,14/03/2019 06:10:18
160,b,14/03/2019 06:11:18
160,d,14/03/2019 06:12:18
161,a,14/03/2019 06:09:19
161,b,14/03/2019 06:10:19
161,c,14/03/2019 06:11:19
161,d,14/03/2019 06:12:19
162,a,14/03/2019 06:09:32
162,c,14/03/2019 06:10:32
162,b,14/03/2019 06:11:32
162,d,14/03/2019 06:12:32
163,a,14/03/2019 06:09:38
163,c,14/03/2019 06:10:38
163,b,14/03/2019 06:11:38
163,d,14/03/2019 06:12:38
164,a,14/03/2019 06:10:06
164,c,14/03/2019 06:11:06
164,b,14/03/2019 06:12:06
164,d,14/03/2019 06:13:06
165,a,14/03/2019 06:12:43
165,b,14/03/2019 06:13:43
165,c,14/03/2019 06:14:43
165,d,14/03/2019 06:15:43
166,a,14/03/2019 06:14:26
166,b,14/03/2019 06:15:26
166,c,14/03/2019 06:16:26
166,d,14/03/2019 06:17:26
167,a,14/03/2019 06:14:34
167,c,14/03/2019 06:15:34
167,b,14/03/2019 06:16:34
167,d,14/03/2019 06:17:34
168,a,14/03/2019 06:16:18
168,c,14/03/2019 06:17:18
168,b,14/03/2019 06:18:18
168,d,14/03/2019 06:19:18
169,a,14/03/2019 06:16:40
169,c,14/03/2019 06:17:40
169,b,14/03/2019 06:18:40
169,d,14/03/2019 06:19:40
170,a,14/03/2019 06:17:04
170,b,14/03/2019 06:18:04
170,c,14/03/2019 06:19:04
170,d,14/03/2019 06:20:04
171,a,14/03/2019 06:17:14
171,b,14/03/2019 06:18:14
171,c,14/03/2019 06:19:14
171,d,14/03/2019 06:20:14
172,a,14/03/2019 06:18:29
172,c,14/03/2019 06:19:29
172,b,14/03/2019 06:20:29
172,d,14/03/2019 06:21:29
173,a,14/03/2019 06:18:41
173,c,14/03/2019 06:19:41
173,b,14/03/2019 06:20:41
173,d,14/03/2019 06:21:41
174,a,14/03/2019 06:19:11
174,c,14/03/2019 06:20:11
174,b,14/03/2019 06:21:11
174,d,14/03/2019 06:22:11
175,a,14/03/2019 06:21:00
175,c,14/03/2019 06:22:00
175,b,14/03/2019 06:23:00
175,d,14/03/2019 06:24:00
176,a,14/03/2019 06:21:29
176,c,14/03/2019 06:22:29
176,b,14/03/2019 06:23:29
176,d,14/03/2019 06:24:29
177,a,14/03/2019 06:22:23
177,c,14/03/2019 06:23:23
177,b,14/03/2019 06:24:23
177,d,14/03/2019 06:25:23
178,a,14/03/2019 06:22:59
178,c,14/03/2019 06:23:59
178,b,14/03/2019 06:24:59
178,d,14/03/2019 06:25:59
179,a,14/03/2019 06:24:03
179,b,14/03/2019 06:25:03
179,c,14/03/2019 06:26:03
179,d,14/03/2019 06:27:03
180,a,14/03/2019 06:24:04
180,b,14/03/2019 06:25:04
180,c,14/03/2019 06:26:04
180,d,14/03/2019 06:27:04
181,a,14/03/2019 06:24:26
181,c,14/03/2019 06:25:26
181,b,14/03/2019 06:26:26
181,d,14/03/2019 06:27:26
182,a,14/03/2019 06:25:04
182,c,14/03/2019 06:26:04
182,b,14/03/2019 06:27:04
182,d,14/03/2019 06:28:04
183,a,14/03/2019 06:25:09
183,c,14/03/2019 06:26:09
183,b,14/03/2019 06:27:09
183,d,14/03/2019 06:28:09
184,a,14/03/2019 06:25:31
184,b,14/03/2019 06:26:31
184,c,14/03/2019 06:27:31
184,d,14/03/2019 06:28:31
185,a,14/03/2019 06:26:51
185,c,14/03/2019 06:27:51
185,b,14/03/2019 06:28:51
185,d,14/03/2019 06:29:51
186,a,14/03/2019 06:27:21
186,b,14/03/2019 06:28:21
186,c,14/03/2019 06:29:21
186,d,14/03/2019 06:30:21
187,a,14/03/2019 06:29:04
187,b,14/03/2019 06:30:04
187,c,14/03/2019 06:31:04
187,d,14/03/2019 06:32:04
188,a,14/03/2019 06:29:29
188,c,14/03/2019 06:30:29
188,b,14/03/2019 06:31:29
188,d,14/03/2019 06:32:29
189,a,14/03/2019 06:30:37
189,c,14/03/2019 06:31:37
189,b,14/03/2019 06:32:37
189,d,14/03/2019 06:33:37
190,a,14/03/2019 06:33:05
190,c,14/03/2019 06:34:05
190,b,14/03/2019 06:35:05
190,d,14/03/2019 06:36:05
191,a,14/03/2019 06:34:54
191,b,14/03/2019 06:35:54
191,c,14/03/2019 06:36:54
191,d,14/03/2019 06:37:54
192,a,14/03/2019 06:35:11
192,b,14/03/2019 06:36:11
192,c,14/03/2019 06:37:11
192,d,14/03/2019 06:38:11
193,a,14/03/2019 06:35:43
193,b,14/03/2019 06:36:43
193,c,14/03/2019 06:37:43
193,d,14/03/2019 06:38:43
194,a,14/03/2019 06:36:38
194,b,14/03/2019 06:37:38
194,c,14/03/2019 06:38:38
194,d,14/03/2019 06:39:38
195,a,14/03/2019 06:37:01
195,b,14/03/2019 06:38:01
195,c,14/03/2019 06:39:01
195,d,14/03/2019 06:40:01
196,a,14/03/2019 06:38:09
196,b,14/03/2019 06:39:09
196,c,14/03/2019 06:40:09
196,d,14/03/2019 06:41:09
197,a,14/03/2019 06:38:11
197,c,14/03/2019 06:39:11
197,b,14/03/2019 06:40:11
197,d,14/03/2019 06:41:11
198,a,14/03/2019 06:38:16
198,b,14/03/2019 06:39:16
198,c,14/03/2019 06:40:16
198,d,14/03/2019 06:41:16
199,a,14/03/2019 06:38:26
199,b,14/03/2019 06:39:26
199,c,14/03/2019 06:40:26
199,d,14/03/2019 06:41:26
200,a,14/03/2019 06:39:36
200,b,14/03/2019 06:40:36
200,c,14/03/2019 06:41:36
200,d,14/03/2019 06:42:36
201,a,14/03/2019 06:40:47
201,b,14/03/2019 06:41:47
201,c,14/03/2019 06:42:47
201,d,14/03/2019 06:43:47
202,a,14/03/2019 06:43:28
202,c,14/03/2019 06:44:28
202,b,14/03/2019 06:45:28
202,d,14/03/2019 06:46:28
203,a,14/03/2019 06:45:20
203,b,14/03/2019 06:46:20
203,c,14/03/2019 06:47:20
203,d,14/03/2019 06:48:20
204,a,14/03/2019 06:48:14
204,c,14/03/2019 06:49:14
204,b,14/03/2019 06:50:14
204,d,14/03/2019 06:51:14
205,a,14/03/2019 06:50:39
205,c,14/03/2019 06:51:39
