event,startTime
F,07/03/2019 06:52:26
E,07/03/2019 06:52:31
B,07/03/2019 06:52:39
A,07/03/2019 06:52:40
E,07/03/2019 06:52:42
A,07/03/2019 06:52:45
F,07/03/2019 06:53:13
C,07/03/2019 06:53:31
C,07/03/2019 06:53:39
B,07/03/2019 06:53:40
C,07/03/2019 06:53:42
B,07/03/2019 06:53:45
F,07/03/2019 06:54:31
E,07/03/2019 06:54:39
C,07/03/2019 06:54:40
F,07/03/2019 06:54:42
C,07/03/2019 06:54:45
F,07/03/2019 06:55:39
E,07/03/2019 06:55:40
E,07/03/2019 06:55:45
F,07/03/2019 06:56:40
F,07/03/2019 06:56:45
A,07/03/2019 06:57:24
A,07/03/2019 06:57:58
B,07/03/2019 06:58:24
B,07/03/2019 06:58:58
A,07/03/2019 06:59:03
A,07/03/2019 06:59:17
E,07/03/2019 06:59:24
D,07/03/2019 06:59:58
B,07/03/2019 07:00:03
B,07/03/2019 07:00:17
C,07/03/2019 07:00:24
C,07/03/2019 07:00:58
D,07/03/2019 07:01:03
A,07/03/2019 07:01:09
C,07/03/2019 07:01:17
F,07/03/2019 07:01:24
A,07/03/2019 07:01:58
F,07/03/2019 07:01:58
A,07/03/2019 07:02:03
C,07/03/2019 07:02:03
B,07/03/2019 07:02:09
D,07/03/2019 07:02:17
A,07/03/2019 07:02:46
A,07/03/2019 07:02:48
B,07/03/2019 07:02:58
B,07/03/2019 07:03:03
F,07/03/2019 07:03:03
C,07/03/2019 07:03:09
F,07/03/2019 07:03:17
A,07/03/2019 07:03:36
B,07/03/2019 07:03:46
B,07/03/2019 07:03:48
A,07/03/2019 07:03:54
C,07/03/2019 07:03:58
E,07/03/2019 07:04:03
D,07/03/2019 07:04:09
A,07/03/2019 07:04:11
A,07/03/2019 07:04:19
A,07/03/2019 07:04:32
B,07/03/2019 07:04:36
C,07/03/2019 07:04:46
D,07/03/2019 07:04:48
B,07/03/2019 07:04:54
E,07/03/2019 07:04:58
C,07/03/2019 07:05:03
F,07/03/2019 07:05:09
B,07/03/2019 07:05:11
B,07/03/2019 07:05:19
A,07/03/2019 07:05:24
B,07/03/2019 07:05:32
D,07/03/2019 07:05:36
E,07/03/2019 07:05:46
C,07/03/2019 07:05:48
E,07/03/2019 07:05:54
F,07/03/2019 07:05:58
F,07/03/2019 07:06:03
C,07/03/2019 07:06:11
C,07/03/2019 07:06:19
B,07/03/2019 07:06:24
D,07/03/2019 07:06:32
C,07/03/2019 07:06:36
F,07/03/2019 07:06:46
F,07/03/2019 07:06:48
C,07/03/2019 07:06:54
A,07/03/2019 07:07:05
E,07/03/2019 07:07:11
E,07/03/2019 07:07:19
D,07/03/2019 07:07:24
A,07/03/2019 07:07:27
C,07/03/2019 07:07:32
F,07/03/2019 07:07:36
F,07/03/2019 07:07:54
A,07/03/2019 07:07:58
A,07/03/2019 07:08:03
B,07/03/2019 07:08:05
A,07/03/2019 07:08:08
F,07/03/2019 07:08:11
A,07/03/2019 07:08:18
F,07/03/2019 07:08:19
C,07/03/2019 07:08:24
A,07/03/2019 07:08:25
B,07/03/2019 07:08:27
F,07/03/2019 07:08:32
A,07/03/2019 07:08:50
B,07/03/2019 07:08:58
B,07/03/2019 07:09:03
E,07/03/2019 07:09:05
B,07/03/2019 07:09:08
A,07/03/2019 07:09:16
B,07/03/2019 07:09:18
F,07/03/2019 07:09:24
B,07/03/2019 07:09:25
D,07/03/2019 07:09:27
A,07/03/2019 07:09:28
A,07/03/2019 07:09:49
B,07/03/2019 07:09:50
C,07/03/2019 07:09:58
D,07/03/2019 07:10:03
C,07/03/2019 07:10:05
D,07/03/2019 07:10:08
B,07/03/2019 07:10:16
A,07/03/2019 07:10:18
C,07/03/2019 07:10:18
D,07/03/2019 07:10:25
C,07/03/2019 07:10:27
B,07/03/2019 07:10:28
A,07/03/2019 07:10:38
B,07/03/2019 07:10:49
D,07/03/2019 07:10:50
E,07/03/2019 07:10:58
C,07/03/2019 07:11:03
F,07/03/2019 07:11:05
C,07/03/2019 07:11:08
D,07/03/2019 07:11:16
B,07/03/2019 07:11:18
D,07/03/2019 07:11:18
C,07/03/2019 07:11:25
F,07/03/2019 07:11:27
C,07/03/2019 07:11:28
B,07/03/2019 07:11:38
A,07/03/2019 07:11:43
D,07/03/2019 07:11:49
C,07/03/2019 07:11:50
F,07/03/2019 07:11:58
F,07/03/2019 07:12:03
F,07/03/2019 07:12:08
C,07/03/2019 07:12:16
E,07/03/2019 07:12:18
F,07/03/2019 07:12:18
A,07/03/2019 07:12:23
F,07/03/2019 07:12:25
D,07/03/2019 07:12:28
E,07/03/2019 07:12:38
B,07/03/2019 07:12:43
C,07/03/2019 07:12:49
F,07/03/2019 07:12:50
F,07/03/2019 07:13:16
C,07/03/2019 07:13:18
B,07/03/2019 07:13:23
F,07/03/2019 07:13:28
C,07/03/2019 07:13:38
E,07/03/2019 07:13:43
F,07/03/2019 07:13:49
A,07/03/2019 07:14:13
F,07/03/2019 07:14:18
E,07/03/2019 07:14:23
F,07/03/2019 07:14:38
C,07/03/2019 07:14:43
A,07/03/2019 07:14:56
A,07/03/2019 07:14:58
B,07/03/2019 07:15:13
C,07/03/2019 07:15:23
F,07/03/2019 07:15:43
B,07/03/2019 07:15:56
B,07/03/2019 07:15:58
C,07/03/2019 07:16:13
F,07/03/2019 07:16:23
C,07/03/2019 07:16:56
E,07/03/2019 07:16:58
E,07/03/2019 07:17:13
A,07/03/2019 07:17:27
A,07/03/2019 07:17:31
A,07/03/2019 07:17:52
E,07/03/2019 07:17:56
C,07/03/2019 07:17:58
A,07/03/2019 07:18:02
F,07/03/2019 07:18:13
B,07/03/2019 07:18:27
B,07/03/2019 07:18:31
A,07/03/2019 07:18:31
B,07/03/2019 07:18:52
F,07/03/2019 07:18:56
A,07/03/2019 07:18:57
F,07/03/2019 07:18:58
B,07/03/2019 07:19:02
C,07/03/2019 07:19:27
D,07/03/2019 07:19:31
B,07/03/2019 07:19:31
A,07/03/2019 07:19:38
C,07/03/2019 07:19:52
B,07/03/2019 07:19:57
C,07/03/2019 07:20:02
A,07/03/2019 07:20:19
D,07/03/2019 07:20:27
C,07/03/2019 07:20:31
D,07/03/2019 07:20:31
B,07/03/2019 07:20:38
D,07/03/2019 07:20:52
C,07/03/2019 07:20:57
A,07/03/2019 07:21:02
E,07/03/2019 07:21:02
B,07/03/2019 07:21:19
F,07/03/2019 07:21:27
F,07/03/2019 07:21:31
C,07/03/2019 07:21:31
E,07/03/2019 07:21:38
F,07/03/2019 07:21:52
D,07/03/2019 07:21:57
B,07/03/2019 07:22:02
F,07/03/2019 07:22:02
E,07/03/2019 07:22:19
F,07/03/2019 07:22:31
C,07/03/2019 07:22:38
F,07/03/2019 07:22:57
A,07/03/2019 07:22:59
C,07/03/2019 07:23:02
C,07/03/2019 07:23:19
F,07/03/2019 07:23:38
A,07/03/2019 07:23:43
A,07/03/2019 07:23:59
B,07/03/2019 07:23:59
D,07/03/2019 07:24:02
F,07/03/2019 07:24:19
B,07/03/2019 07:24:43
B,07/03/2019 07:24:59
C,07/03/2019 07:24:59
F,07/03/2019 07:25:02
E,07/03/2019 07:25:43
D,07/03/2019 07:25:59
D,07/03/2019 07:25:59
A,07/03/2019 07:26:20
C,07/03/2019 07:26:43
A,07/03/2019 07:26:55
C,07/03/2019 07:26:59
F,07/03/2019 07:26:59
B,07/03/2019 07:27:20
F,07/03/2019 07:27:43
B,07/03/2019 07:27:55
F,07/03/2019 07:27:59
E,07/03/2019 07:28:20
A,07/03/2019 07:28:22
C,07/03/2019 07:28:55
A,07/03/2019 07:29:12
C,07/03/2019 07:29:20
B,07/03/2019 07:29:22
E,07/03/2019 07:29:55
B,07/03/2019 07:30:12
F,07/03/2019 07:30:20
E,07/03/2019 07:30:22
F,07/03/2019 07:30:55
E,07/03/2019 07:31:12
C,07/03/2019 07:31:22
C,07/03/2019 07:32:12
F,07/03/2019 07:32:22
A,07/03/2019 07:32:40
F,07/03/2019 07:33:12
B,07/03/2019 07:33:40
C,07/03/2019 07:34:40
A,07/03/2019 07:35:04
A,07/03/2019 07:35:25
D,07/03/2019 07:35:40
B,07/03/2019 07:36:04
B,07/03/2019 07:36:25
F,07/03/2019 07:36:40
A,07/03/2019 07:37:02
C,07/03/2019 07:37:04
D,07/03/2019 07:37:25
B,07/03/2019 07:38:02
E,07/03/2019 07:38:04
C,07/03/2019 07:38:25
A,07/03/2019 07:38:42
C,07/03/2019 07:39:02
F,07/03/2019 07:39:04
F,07/03/2019 07:39:25
A,07/03/2019 07:39:30
B,07/03/2019 07:39:42
E,07/03/2019 07:40:02
A,07/03/2019 07:40:11
B,07/03/2019 07:40:30
E,07/03/2019 07:40:42
A,07/03/2019 07:40:43
A,07/03/2019 07:40:56
F,07/03/2019 07:41:02
B,07/03/2019 07:41:11
E,07/03/2019 07:41:30
C,07/03/2019 07:41:42
B,07/03/2019 07:41:43
B,07/03/2019 07:41:56
A,07/03/2019 07:41:59
C,07/03/2019 07:42:11
C,07/03/2019 07:42:30
F,07/03/2019 07:42:42
D,07/03/2019 07:42:43
A,07/03/2019 07:42:53
C,07/03/2019 07:42:56
B,07/03/2019 07:42:59
D,07/03/2019 07:43:11
F,07/03/2019 07:43:30
C,07/03/2019 07:43:43
B,07/03/2019 07:43:53
E,07/03/2019 07:43:56
C,07/03/2019 07:43:59
F,07/03/2019 07:44:11
A,07/03/2019 07:44:21
A,07/03/2019 07:44:23
F,07/03/2019 07:44:43
A,07/03/2019 07:44:44
D,07/03/2019 07:44:53
F,07/03/2019 07:44:56
E,07/03/2019 07:44:59
B,07/03/2019 07:45:21
B,07/03/2019 07:45:23
B,07/03/2019 07:45:44
C,07/03/2019 07:45:53
F,07/03/2019 07:45:59
A,07/03/2019 07:46:13
E,07/03/2019 07:46:21
E,07/03/2019 07:46:23
E,07/03/2019 07:46:44
F,07/03/2019 07:46:53
B,07/03/2019 07:47:13
C,07/03/2019 07:47:21
C,07/03/2019 07:47:23
A,07/03/2019 07:47:28
C,07/03/2019 07:47:44
D,07/03/2019 07:48:13
F,07/03/2019 07:48:21
F,07/03/2019 07:48:23
B,07/03/2019 07:48:28
F,07/03/2019 07:48:44
A,07/03/2019 07:49:06
C,07/03/2019 07:49:13
D,07/03/2019 07:49:28
A,07/03/2019 07:49:32
B,07/03/2019 07:50:06
F,07/03/2019 07:50:13
C,07/03/2019 07:50:28
B,07/03/2019 07:50:32
A,07/03/2019 07:51:04
D,07/03/2019 07:51:06
F,07/03/2019 07:51:28
E,07/03/2019 07:51:32
B,07/03/2019 07:52:04
C,07/03/2019 07:52:06
A,07/03/2019 07:52:12
C,07/03/2019 07:52:32
A,07/03/2019 07:52:33
C,07/03/2019 07:53:04
F,07/03/2019 07:53:06
B,07/03/2019 07:53:12
F,07/03/2019 07:53:32
B,07/03/2019 07:53:33
A,07/03/2019 07:53:44
E,07/03/2019 07:54:04
E,07/03/2019 07:54:12
D,07/03/2019 07:54:33
B,07/03/2019 07:54:44
F,07/03/2019 07:55:04
C,07/03/2019 07:55:12
C,07/03/2019 07:55:33
C,07/03/2019 07:55:44
A,07/03/2019 07:55:57
F,07/03/2019 07:56:12
A,07/03/2019 07:56:18
A,07/03/2019 07:56:29
F,07/03/2019 07:56:33
D,07/03/2019 07:56:44
B,07/03/2019 07:56:57
A,07/03/2019 07:57:07
B,07/03/2019 07:57:18
B,07/03/2019 07:57:29
F,07/03/2019 07:57:44
A,07/03/2019 07:57:54
E,07/03/2019 07:57:57
B,07/03/2019 07:58:07
C,07/03/2019 07:58:18
A,07/03/2019 07:58:19
D,07/03/2019 07:58:29
B,07/03/2019 07:58:54
C,07/03/2019 07:58:57
E,07/03/2019 07:59:07
D,07/03/2019 07:59:18
B,07/03/2019 07:59:19
C,07/03/2019 07:59:29
C,07/03/2019 07:59:54
F,07/03/2019 07:59:57
C,07/03/2019 08:00:07
F,07/03/2019 08:00:18
D,07/03/2019 08:00:19
F,07/03/2019 08:00:29
E,07/03/2019 08:00:54
F,07/03/2019 08:01:07
A,07/03/2019 08:01:16
C,07/03/2019 08:01:19
F,07/03/2019 08:01:54
B,07/03/2019 08:02:16
F,07/03/2019 08:02:19
A,07/03/2019 08:02:49
E,07/03/2019 08:03:16
A,07/03/2019 08:03:28
B,07/03/2019 08:03:49
A,07/03/2019 08:04:14
C,07/03/2019 08:04:16
B,07/03/2019 08:04:28
E,07/03/2019 08:04:49
B,07/03/2019 08:05:14
F,07/03/2019 08:05:16
E,07/03/2019 08:05:28
C,07/03/2019 08:05:49
D,07/03/2019 08:06:14
C,07/03/2019 08:06:28
F,07/03/2019 08:06:49
C,07/03/2019 08:07:14
F,07/03/2019 08:07:28
F,07/03/2019 08:08:14
